strategy,mean_final_fraction,std_final_fraction,mean_n_steps,std_n_steps,mean_t_50,std_t_50,mean_t_90,std_t_90,mean_auc,std_auc,tau,seed_fraction
degree,0.5344337192896016,0.0,21.0,0.0,7.0,0.0,-1.0,0.0,10.248878337924495,0.0,0.15,0.02
random,0.16275783297126606,0.007839250742972538,43.1,7.852105167122734,-1.0,0.0,-1.0,0.0,6.131287839764693,1.3562856171638025,0.15,0.02
betweenness,0.6944525318581891,0.0,19.0,0.0,3.0,0.0,-1.0,0.0,12.399647637604234,0.0,0.15,0.05
degree,0.6525871014460296,0.0,18.0,0.0,3.0,0.0,-1.0,0.0,11.02995080364008,0.0,0.15,0.05
random,0.3347532343433891,0.0044521027222062335,41.7,8.57710129744698,-1.0,0.0,-1.0,0.0,12.662152396736172,2.886999057914687,0.15,0.05
betweenness,0.25732906317887616,0.0,49.0,0.0,-1.0,0.0,-1.0,0.0,11.235448254238424,0.0,0.2,0.0025
degree,0.2837114510313319,0.0,30.0,0.0,-1.0,0.0,-1.0,0.0,7.388412353586704,0.0,0.2,0.0025
random,0.01898427060237546,0.002517413308448902,28.4,6.6365988611972355,-1.0,0.0,-1.0,0.0,0.46673684053361997,0.12928674471866453,0.2,0.0025
betweenness,0.3518547550260166,0.0,38.0,0.0,-1.0,0.0,-1.0,0.0,12.116048166147825,0.0,0.2,0.005
degree,0.35897665599128054,0.0,35.0,0.0,-1.0,0.0,-1.0,0.0,11.399991041634006,0.0,0.2,0.005
random,0.04102110441722097,0.004962918253454473,31.8,6.828046735503663,-1.0,0.0,-1.0,0.0,1.0965420707262994,0.31444690271230524,0.2,0.005
betweenness,0.46031070599389345,0.0,28.0,0.0,-1.0,0.0,-1.0,0.0,11.650601330317352,0.0,0.2,0.01
degree,0.44326741469022723,0.0,24.0,0.0,-1.0,0.0,-1.0,0.0,9.554955842720956,0.0,0.2,0.01
random,0.07738684463953774,0.00406860842061613,31.4,6.4670103001481465,-1.0,0.0,-1.0,0.0,2.1049950355721783,0.5641699489399614,0.2,0.01
betweenness,0.5678558897523759,0.0,30.0,0.0,6.0,0.0,-1.0,0.0,15.904794965398313,0.0,0.2,0.02
degree,0.5344337192896016,0.0,21.0,0.0,7.0,0.0,-1.0,0.0,10.248878337924495,0.0,0.2,0.02
random,0.16275783297126606,0.00783925074297254,43.1,7.852105167122735,-1.0,0.0,-1.0,0.0,6.131287839764693,1.3562856171638022,0.2,0.02
betweenness,0.6944525318581891,0.0,19.0,0.0,3.0,0.0,-1.0,0.0,12.399647637604234,0.0,0.2,0.05
degree,0.6525871014460296,0.0,18.0,0.0,3.0,0.0,-1.0,0.0,11.02995080364008,0.0,0.2,0.05
random,0.3347532343433891,0.004452102722206231,41.7,8.57710129744698,-1.0,0.0,-1.0,0.0,12.662152396736172,2.886999057914687,0.2,0.05
betweenness,0.25732906317887616,0.0,49.0,0.0,-1.0,0.0,-1.0,0.0,11.235448254238424,0.0,0.25,0.0025
degree,0.2837114510313319,0.0,30.0,0.0,-1.0,0.0,-1.0,0.0,7.388412353586704,0.0,0.25,0.0025
random,0.01898427060237546,0.002517413308448902,28.4,6.6365988611972355,-1.0,0.0,-1.0,0.0,0.46673684053361997,0.12928674471866453,0.25,0.0025
betweenness,0.3518547550260166,0.0,38.0,0.0,-1.0,0.0,-1.0,0.0,12.116048166147825,0.0,0.25,0.005
degree,0.35897665599128054,0.0,35.0,0.0,-1.0,0.0,-1.0,0.0,11.399991041634006,0.0,0.25,0.005
random,0.04102110441722097,0.00496291825345447,31.8,6.828046735503663,-1.0,0.0,-1.0,0.0,1.0965420707262994,0.31444690271230524,0.25,0.005
betweenness,0.46031070599389345,0.0,28.0,0.0,-1.0,0.0,-1.0,0.0,11.650601330317352,0.0,0.25,0.01
degree,0.44326741469022723,0.0,24.0,0.0,-1.0,0.0,-1.0,0.0,9.554955842720956,0.0,0.25,0.01
random,0.07738684463953774,0.00406860842061613,31.4,6.467010300148147,-1.0,0.0,-1.0,0.0,2.1049950355721783,0.5641699489399614,0.25,0.01
betweenness,0.5678558897523759,0.0,30.0,0.0,6.0,0.0,-1.0,0.0,15.904794965398313,0.0,0.25,0.02
degree,0.5344337192896016,0.0,21.0,0.0,7.0,0.0,-1.0,0.0,10.248878337924495,0.0,0.25,0.02
random,0.16275783297126606,0.00783925074297254,43.1,7.852105167122735,-1.0,0.0,-1.0,0.0,6.131287839764693,1.3562856171638022,0.25,0.02
betweenness,0.6944525318581891,0.0,19.0,0.0,3.0,0.0,-1.0,0.0,12.399647637604234,0.0,0.25,0.05
degree,0.6525871014460296,0.0,18.0,0.0,3.0,0.0,-1.0,0.0,11.02995080364008,0.0,0.25,0.05
random,0.3347532343433891,0.004452102722206231,41.7,8.57710129744698,-1.0,0.0,-1.0,0.0,12.662152396736172,2.886999057914687,0.25,0.05
betweenness,0.25732906317887616,0.0,49.0,0.0,-1.0,0.0,-1.0,0.0,11.235448254238424,0.0,0.3,0.0025
degree,0.2837114510313319,0.0,30.0,0.0,-1.0,0.0,-1.0,0.0,7.388412353586704,0.0,0.3,0.0025
random,0.01898427060237546,0.0025174133084489023,28.4,6.6365988611972355,-1.0,0.0,-1.0,0.0,0.46673684053361997,0.12928674471866453,0.3,0.0025
betweenness,0.3518547550260166,0.0,38.0,0.0,-1.0,0.0,-1.0,0.0,12.116048166147825,0.0,0.3,0.005
degree,0.35897665599128054,0.0,35.0,0.0,-1.0,0.0,-1.0,0.0,11.399991041634006,0.0,0.3,0.005
random,0.04102110441722097,0.00496291825345447,31.8,6.828046735503662,-1.0,0.0,-1.0,0.0,1.0965420707262994,0.31444690271230524,0.3,0.005
betweenness,0.46031070599389345,0.0,28.0,0.0,-1.0,0.0,-1.0,0.0,11.650601330317352,0.0,0.3,0.01
degree,0.44326741469022723,0.0,24.0,0.0,-1.0,0.0,-1.0,0.0,9.554955842720956,0.0,0.3,0.01
random,0.07738684463953774,0.00406860842061613,31.4,6.4670103001481465,-1.0,0.0,-1.0,0.0,2.1049950355721783,0.5641699489399614,0.3,0.01
betweenness,0.5678558897523759,0.0,30.0,0.0,6.0,0.0,-1.0,0.0,15.904794965398313,0.0,0.3,0.02
degree,0.5344337192896016,0.0,21.0,0.0,7.0,0.0,-1.0,0.0,10.248878337924495,0.0,0.3,0.02
random,0.16275783297126606,0.007839250742972538,43.1,7.852105167122735,-1.0,0.0,-1.0,0.0,6.131287839764693,1.3562856171638022,0.3,0.02
betweenness,0.6944525318581891,0.0,19.0,0.0,3.0,0.0,-1.0,0.0,12.399647637604234,0.0,0.3,0.05
degree,0.6525871014460296,0.0,18.0,0.0,3.0,0.0,-1.0,0.0,11.02995080364008,0.0,0.3,0.05
random,0.3347532343433891,0.004452102722206217,41.7,8.57710129744698,-1.0,0.0,-1.0,0.0,12.66215239673617,2.886999057914687,0.3,0.05
